Epoch,Loss,Avg_Error_Pounds
1,0.10461362901059924,8.253067539110953
2,0.10239630125043281,8.191875898708211
3,0.10193835649918369,8.174670227176115
4,0.10166469063786686,8.164883512937331
5,0.10149545174134293,8.157760756385702
6,0.1014126541804603,8.15496021849964
7,0.10133025853477412,8.150545470022264
8,0.10129786387614555,8.149251404053269
9,0.10127120655108915,8.147819715923406
10,0.10122329727721885,8.145375868169277
11,0.10119274081079584,8.144088660692468
12,0.1011821635400231,8.143565547920868
13,0.10118654936173327,8.144548803299664
14,0.10116110841636651,8.142947849752263
15,0.10115749723783356,8.142255585958457
16,0.10116009497312764,8.142527313741441
17,0.1011564860260103,8.14249531345951
18,0.10115456716663294,8.142396150742467
19,0.10116506264320832,8.142654271742053
20,0.10116006709607371,8.142699484734864
21,0.10116151069541363,8.142709524423589
22,0.10115341260997776,8.142403587806706
23,0.10113809670455395,8.142254455373692
24,0.10114414615466574,8.142387964437054
25,0.1011354662849856,8.142193017486191
26,0.10113818310290396,8.14220628607134
27,0.10113064706326948,8.142054435299375
28,0.10112611363794867,8.141898031308028
29,0.1011212239609499,8.141691390937739
30,0.1011183212913631,8.141651993145125
31,0.1011230685986806,8.141929221852893
32,0.10111068532794455,8.141315157616804
33,0.10111529119422215,8.141572011769101
34,0.10111109343719374,8.141703469114633
35,0.10111018787433906,8.14162458910706
36,0.10110909709979965,8.141524517414226
37,0.10110857165720068,8.141445981755549
38,0.10110147952744103,8.14118749273626
39,0.10110268423738368,8.14130328871111
40,0.10109318125997985,8.140941495448484
41,0.10109750903722964,8.140661768257898
42,0.10108630329856476,8.140833818160964
43,0.10110551721775116,8.141755524283745
44,0.10109180359105757,8.141110307183917
45,0.1010811229405945,8.14034954024648
46,0.10108099204004783,8.140852885740722
47,0.10108035434602536,8.140437529727109
48,0.10107769724510103,8.141048191973288
49,0.10106953162674327,8.140276948305145
50,0.10106312242614116,8.140006072995037
51,0.1010566369890669,8.139744918034523
52,0.10106820966037677,8.140337171260606
53,0.10106572359199782,8.140265100350065
54,0.10105992185457835,8.140103597419168
55,0.10106150621224254,8.140111278174395
56,0.10105889908068974,8.139968947791662
57,0.10106238321212017,8.140842611112351
58,0.10104409206533255,8.139754870486852
59,0.10104844697626679,8.139969251181533
60,0.10104069877791212,8.139732745613953
61,0.10104190528892618,8.13979074883584
62,0.10104520646925727,8.14014027165582
63,0.10105299573317791,8.140873485778007
64,0.10104871600968704,8.140416239513218
65,0.10103421438395745,8.140233295752312
66,0.10101591864466872,8.139678502468145
67,0.10101336026004257,8.13982287599224
68,0.10101406018339497,8.139990443789674
69,0.1010135881807092,8.13993075272422
70,0.10100281756488455,8.139503224907427
71,0.10100664632389814,8.139611957713157
72,0.10102960944024132,8.140587464091267
73,0.10100175377972243,8.139547172695275
74,0.10100841509982957,8.139833674086896
75,0.10099962388620007,8.139511307004494
76,0.10100209108496667,8.139503166202932
77,0.10100101524297368,8.139717374919398
78,0.10099016552780966,8.139375958259283
79,0.10098894176992841,8.139136682407258
80,0.10098383667315144,8.139098268832
81,0.10098677905043932,8.138999346098487
82,0.10098807153197104,8.139037121794171
83,0.10098315066126233,8.138972763647976
84,0.1009915865619676,8.139212029857436
85,0.10098691513032233,8.13920935227039
86,0.1009734393248415,8.138521498398482
87,0.10097401830987088,8.138365499352028
88,0.10097905819635751,8.138817476548939
89,0.10097276384899893,8.138493504172914
90,0.10097803843648583,8.138905819956712
91,0.1009771405953252,8.13889274123656
92,0.1009807324852411,8.13928437202311
93,0.10097701119542417,8.139114122563491
94,0.1009758420508961,8.139089339172951
95,0.10097530787084533,8.139058246857758
96,0.10096889970951932,8.13877804740816
97,0.10096976403514805,8.138878376152082
98,0.10096794744614322,8.138878500222113
